legal_name,lei,uid_ch,domicile_country,hq_city,hq_region,geneva_link,source_key,retrieved_at
"J. Front Retailing Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
J.B. Hunt,,,,,,,index_universe,2026-07-07T20:39:30Z
J.M. Smucker Company (The),,,,,,,index_universe,2026-07-07T20:39:30Z
JB Hi-Fi,,,,,,,index_universe,2026-07-07T20:39:42Z
JD Health,,,,,,,index_universe,2026-07-07T20:39:40Z
JD Logistics,,,,,,,index_universe,2026-07-07T20:39:40Z
JD Sports,,,,,,,index_universe,2026-07-07T20:39:37Z
JD.com,,,,,,,index_universe,2026-07-07T20:39:40Z
"JFE Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
JGC Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
JPMorgan Chase,,,,,,,index_universe,2026-07-07T20:39:30Z
JTEKT Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
JUNGFRAUBAHN HOLDING AG,5067009MCPE99B3E4489,CHE102239771,CH,Interlaken,CH-BE,none,gleif,2026-07-19T02:41:13Z
Jabil,,,,,,,index_universe,2026-07-07T20:39:30Z
Jack Henry & Associates,,,,,,,index_universe,2026-07-07T20:39:30Z
Jacobs Solutions,,,US,,,,index_universe,2026-07-07T20:39:30Z
James Hardie,,,,,,,index_universe,2026-07-07T20:39:42Z
"Japan Airlines Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Japan Exchange Group Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Japan Post Holdings Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Japan Tobacco Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Johnson & Johnson,,,,,,,index_universe,2026-07-07T20:39:30Z
Johnson Controls,,,,,,,index_universe,2026-07-07T20:39:30Z
Julius Bär Gruppe AG,5299007MF0604ZGJER92,CHE114934412,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:19Z
KDDI Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
KKR & Co.,,,,,,,index_universe,2026-07-07T20:39:30Z
KLA Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Kajima Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Kanadevia Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Kao Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Kardex Holding AG,529900JKKMQ07D6QZ480,CHE102425888,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:19Z
"Kawasaki Heavy Industries, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Kawasaki Kisen Kaisha, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Keio Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Keisei Electric Railway Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Kenvue,,,,,,,index_universe,2026-07-07T20:39:30Z
Kering,,,FR,,,,index_universe,2026-07-07T20:39:36Z
Keurig Dr Pepper,,,,,,,index_universe,2026-07-07T20:39:30Z
KeyCorp,,,,,,,index_universe,2026-07-07T20:39:30Z
Keyence Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Keysight Technologies,,,,,,,index_universe,2026-07-07T20:39:30Z
Kikkoman Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Kimberly-Clark,,,,,,,index_universe,2026-07-07T20:39:30Z
Kimco Realty,,,,,,,index_universe,2026-07-07T20:39:30Z
Kinder Morgan,,,,,,,index_universe,2026-07-07T20:39:30Z
Kingfisher plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
Kinross Gold Corporation,,,,,,,index_universe,2026-07-07T20:39:33Z
Kioxia Holdings Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Kirin Holdings Co, Ltd",,,,,,,index_universe,2026-07-07T20:39:39Z
Klingelnberg AG,5299006LD35WX0UCKR92,CHE-106.075.267,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:25Z
"Kobe Steel, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Komatsu Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Komax Holding AG,529900UID9PCQXLG9479,CHE-103.485.290,CH,Dierikon,CH-LU,none,gleif,2026-07-19T02:41:09Z
Konami Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Konica Minolta Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Kraft Heinz,,,,,,,index_universe,2026-07-07T20:39:30Z
Kroger,,,,,,,index_universe,2026-07-07T20:39:30Z
Kuaishou,,,,,,,index_universe,2026-07-07T20:39:40Z
Kubota Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Kudelski S.A.,549300FKTMFFJ0FCTP58,CHE100125518,CH,Cheseaux-Lausanne,CH-VD,none,gleif,2026-07-19T02:41:12Z
"Kuraray Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Kuros Biosciences AG,5299006U5POB2AVTT709,CHE-104.785.642,CH,Schlieren,CH-ZH,none,gleif,2026-07-19T02:41:24Z
Kyocera Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Kyowa Hakko Kirin Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Kühne + Nagel International AG,529900Q0YED3805QXQ66,CHE101862298,CH,Schindellegi,CH-SZ,none,gleif,2026-07-19T02:41:16Z
L'Oréal,,,France,,,,index_universe,2026-07-07T20:39:38Z
L3Harris,,,,,,,index_universe,2026-07-07T20:39:30Z
LEM HOLDING SA,5067008AF2B2C5O7TJ43,CHE103334260,CH,Meyrin,CH-GE,domicile,gleif,2026-07-19T02:41:14Z
LOGITECH INTERNATIONAL S.A.,549300SN6PRK6IJJC215,CHE-101.502.641,CH,LAUSANNE,CH-VD,none,gleif,2026-07-19T02:41:16Z
LONZA GROUP AG,549300EFW4H2TCZ71055,CHE-106.841.866,CH,BASEL,CH-BS,none,gleif,2026-07-19T02:41:13Z
LUZERNER KANTONALBANK AG,549300C2XKS86VQDGV41,CHE-105.845.092,CH,LUZERN,CH-LU,none,gleif,2026-07-19T02:41:29Z
LVMH,,,,,,,index_universe,2026-07-07T20:39:36Z
LVMH Moët Hennessy Louis Vuitton,,,France,,,,index_universe,2026-07-07T20:39:38Z
LY Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
Labcorp,,,,,,,index_universe,2026-07-07T20:39:30Z
Lam Research,,,,,,,index_universe,2026-07-07T20:39:30Z
Land Securities,,,,,,,index_universe,2026-07-07T20:39:37Z
Landis+Gyr Group AG,529900PZYVAKCYSLFL19,CHE175843017,CH,Cham,CH-ZG,none,gleif,2026-07-19T02:41:24Z
Las Vegas Sands,,,,,,,index_universe,2026-07-07T20:39:30Z
Lasertec,,,,,,,index_universe,2026-07-07T20:39:39Z
Legal & General,,,,,,,index_universe,2026-07-07T20:39:37Z
Legrand,,,,,,,index_universe,2026-07-07T20:39:36Z
Leidos,,,,,,,index_universe,2026-07-07T20:39:30Z
Lennar,,,,,,,index_universe,2026-07-07T20:39:30Z
Lennox International,,,,,,,index_universe,2026-07-07T20:39:30Z
Lenovo,,,,,,,index_universe,2026-07-07T20:39:40Z
Leonteq AG,254900ZIGEA3M1TF0O96,CHE-113.956.233,CH,Zurich,CH-ZH,none,gleif,2026-07-19T02:41:20Z
Li Auto,,,,,,,index_universe,2026-07-07T20:39:40Z
Li-Ning,,,,,,,index_universe,2026-07-07T20:39:40Z
Liechtensteinische Landesbank Aktiengesellschaft,529900OE1FOAM50XLP72,FL-0001.000.289-1,LI,Vaduz,LI-11,none,gleif,2026-07-19T02:41:32Z
Lilly (Eli),,,,,,,index_universe,2026-07-07T20:39:30Z
Linde plc,,,,,,,index_universe,2026-07-07T20:39:30Z
Link REIT,,,,,,,index_universe,2026-07-07T20:39:40Z
Lion Finance Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Live Nation Entertainment,,,,,,,index_universe,2026-07-07T20:39:30Z
Lloyds Banking Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Loblaw Companies Limited,,,,,,,index_universe,2026-07-07T20:39:33Z
Lockheed Martin,,,,,,,index_universe,2026-07-07T20:39:30Z
Loews Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
London Stock Exchange Group,,,,,,,index_universe,2026-07-07T20:39:37Z
LondonMetric Property,,,,,,,index_universe,2026-07-07T20:39:37Z
Longfor Properties,,,,,,,index_universe,2026-07-07T20:39:40Z
Lowe's,,,,,,,index_universe,2026-07-07T20:39:30Z
Lululemon Athletica,,,,,,,index_universe,2026-07-07T20:39:30Z
Lumentum,,,,,,,index_universe,2026-07-07T20:39:30Z
Lynas,,,,,,,index_universe,2026-07-07T20:39:42Z
LyondellBasell,,,,,,,index_universe,2026-07-07T20:39:30Z
M&G,,,,,,,index_universe,2026-07-07T20:39:37Z
M&T Bank,,,,,,,index_universe,2026-07-07T20:39:30Z
M3 Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
MCH Group AG,529900I8ECADX1VM9G14,CHE105825066,CH,Basel,CH-BS,none,gleif,2026-07-19T02:41:17Z
MGM Resorts,,,,,,,index_universe,2026-07-07T20:39:30Z
"MS&AD Insurance Group, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
MSCI Inc.,,,,,,,index_universe,2026-07-07T20:39:30Z
MTR Corporation Ltd,,,,,,,index_universe,2026-07-07T20:39:40Z
MTU Aero Engines,,,,,,,index_universe,2026-07-07T20:39:34Z
Macquarie Group,,,,,,,index_universe,2026-07-07T20:39:42Z
Magna International Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Manulife Financial Corporation,,,CA,,,,index_universe,2026-07-07T20:39:33Z
Marathon Petroleum,,,,,,,index_universe,2026-07-07T20:39:30Z
Marks & Spencer,,,,,,,index_universe,2026-07-07T20:39:37Z
Marriott International,,,,,,,index_universe,2026-07-07T20:39:30Z
Marsh McLennan,,,US,,,,index_universe,2026-07-07T20:39:30Z
Martin Marietta Materials,,,,,,,index_universe,2026-07-07T20:39:30Z
Marubeni Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Marui Group Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Marvell Technology,,,,,,,index_universe,2026-07-07T20:39:30Z
Masco,,,,,,,index_universe,2026-07-07T20:39:30Z
Mastercard,,,,,,,index_universe,2026-07-07T20:39:30Z
Matador Secondary Private Equity AG,9676007ASJYFQMM4GT15,CHE-112.532.155,CH,Sarnen,CH-OW,none,gleif,2026-07-19T02:41:19Z
Mazda Motor Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
McCormick & Company,,,,,,,index_universe,2026-07-07T20:39:30Z
McDonald's,,,,,,,index_universe,2026-07-07T20:39:30Z
